,Codigo_Empresas,Codigo_Cliente,Estado_Entrega_Cliente,Codigo_Vendedores,Pedido,produto,Descr_Tabela,qtde,Vr_Unitario,Vr_Total,Data_Pedido,Data_Entrega,Status_Pedido,Tipo_Pedido_Desc
8018,04,47.595.863/0004-65,SP,014,00000094,LF0986,LONA FILTRO AS-130.CA-DUP 630X630 LISA (VEL)      ,60.0,52.0,3120.0,2011-10-28,2011-11-22,2,Vendas    
8019,04,47.595.863/0004-65,SP,011,00000094,LF1661,LONA FILTRO AS-295.CA-DUP 630X630 LISA (VEL)      ,50.0,52.0,2600.0,2011-10-28,2011-11-22,2,Vendas    
8020,04,47.595.863/0004-65,SP,014,00000094,LF1661,LONA FILTRO AS-295.CA-DUP 630X630 LISA (VEL)      ,50.0,52.0,2600.0,2011-10-28,2011-11-22,2,Vendas    
8021,04,53.858.312/0001-05,SP,011,00000095,LF0748,LONA FILTRO AS-160.CA-DUP 1200X1200 LISA (VEL)    ,107.0,161.34,17263.38,2011-10-28,2011-11-14,2,Vendas    
8022,04,53.858.312/0001-05,SP,014,00000095,LF0748,LONA FILTRO AS-160.CA-DUP 1200X1200 LISA (VEL)    ,107.0,161.34,17263.38,2011-10-28,2011-11-14,2,Vendas    
8023,04,53.858.312/0001-05,SP,011,00000095,LF1899,LONA FILTRO AS-160.CA-DUP 870X810 LISA (TIR)      ,80.0,45.5,3640.0,2011-10-28,2011-11-14,2,Vendas    
8024,04,53.858.312/0001-05,SP,014,00000095,LF1899,LONA FILTRO AS-160.CA-DUP 870X810 LISA (TIR)      ,80.0,45.5,3640.0,2011-10-28,2011-11-14,2,Vendas    
8025,04,00.400.149/0001-68,SP,011,00000098,LF1172,LONA FILTRO AS-130.CA-DUP 630X630 LISA (FUR)      ,15.0,53.76,806.4,2011-10-31,2011-11-16,2,Vendas    
8026,04,00.400.149/0001-68,SP,014,00000098,LF1172,LONA FILTRO AS-130.CA-DUP 630X630 LISA (FUR)      ,15.0,53.76,806.4,2011-10-31,2011-11-16,2,Vendas    
8027,04,12.763.658/0001-34,SP,011,00000099,SF0086,SACO FILTRO AS-150.TE C-1400XL-500XH-50 MM        ,6.0,87.4,524.4,2011-11-01,2011-11-17,2,Vendas    
8028,04,12.763.658/0001-34,SP,015,00000099,SF0086,SACO FILTRO AS-150.TE C-1400XL-500XH-50 MM        ,6.0,87.4,524.4,2011-11-01,2011-11-17,2,Vendas    
8029,04,52.742.277/0001-93,SP,014,00000101,LF0940,LONA FILTRO AS-101.CA-DUP 630X630 LISA (VEL)      ,56.0,115.0,6440.0,2011-11-03,2011-11-21,2,Vendas    
8030,04,52.742.277/0001-93,SP,011,00000101,LF0940,LONA FILTRO AS-101.CA-DUP 630X630 LISA (VEL)      ,56.0,115.0,6440.0,2011-11-03,2011-11-21,2,Vendas    
8031,04,46.567.202/0001-10,SP,011,00000102,LF0977,LONA FILTRO AS-295.CA-DUP 1200X1200 REF.01 (FUR)  ,61.0,184.98,11283.78,2011-11-04,2011-11-21,2,Vendas    
8032,04,46.567.202/0001-10,SP,015,00000102,LF0977,LONA FILTRO AS-295.CA-DUP 1200X1200 REF.01 (FUR)  ,61.0,184.98,11283.78,2011-11-04,2011-11-21,2,Vendas    
8033,04,65.011.967/0001-14,SP,011,00000104,MF0179,MANGA FILTRO AS-420.CA D-150 H -3180              ,72.0,67.5,4860.0,2011-11-08,2011-11-24,2,Vendas    
8034,04,65.011.967/0001-14,SP,014,00000104,MF0179,MANGA FILTRO AS-420.CA D-150 H -3180              ,72.0,67.5,4860.0,2011-11-08,2011-11-24,2,Vendas    
